date	country	variant	sequences
2036-03-30	tropics	12	1
2036-04-06	tropics	12	3
2036-04-13	north	12	1
2036-04-13	tropics	11	3
2036-04-20	tropics	11	1
2036-04-20	tropics	12	1
2036-04-27	tropics	11	1
2036-05-04	tropics	12	4
2036-05-11	tropics	11	1
2036-05-11	tropics	12	1
2036-05-18	tropics	12	2
2036-05-25	tropics	12	3
2036-06-01	tropics	12	8
2036-06-08	tropics	11	2
2036-06-08	tropics	12	4
2036-06-15	tropics	12	1
2036-06-22	south	12	1
2036-06-22	tropics	12	1
2036-06-29	tropics	12	1
2036-07-06	tropics	11	1
2036-07-06	tropics	12	2
2036-07-13	north	12	1
2036-07-13	tropics	12	1
2036-07-20	tropics	12	4
2036-07-27	north	12	1
2036-07-27	tropics	12	1
2036-08-03	tropics	12	4
2036-08-10	tropics	12	4
2036-08-17	north	12	1
2036-08-17	tropics	12	1
2036-08-24	tropics	12	2
2036-08-31	south	12	1
2036-08-31	tropics	12	4
2036-09-07	north	12	1
2036-09-14	tropics	12	1
2036-09-21	tropics	12	1
2036-09-28	south	12	2
2036-09-28	tropics	12	3
2036-10-05	south	12	1
2036-10-05	tropics	12	1
2036-10-12	south	12	1
2036-10-12	tropics	12	1
2036-10-19	tropics	12	1
2036-10-26	south	12	1
2036-11-02	south	12	2
2036-11-02	tropics	12	1
2036-11-09	south	12	1
2036-11-09	tropics	12	1
2036-11-23	tropics	12	1
2036-11-30	south	12	1
2036-12-07	north	12	1
2036-12-07	tropics	12	4
2036-12-14	north	12	1
2036-12-21	north	12	1
2036-12-21	tropics	12	3
2036-12-28	tropics	12	1
2037-01-04	south	12	1
2037-01-11	tropics	12	1
2037-01-25	north	12	1
2037-01-25	tropics	12	1
2037-02-01	north	12	3
2037-02-01	south	12	1
2037-02-15	south	12	1
2037-02-15	tropics	12	1
2037-02-22	north	12	1
2037-03-01	north	12	1
2037-03-08	tropics	12	1
2037-03-15	north	12	1
2037-03-22	north	12	1
2037-04-05	north	12	1
2037-04-05	tropics	12	1
2037-04-19	tropics	12	1
2037-04-26	north	12	1
2037-05-03	north	12	1
2037-05-03	tropics	12	2
2037-05-10	tropics	12	2
2037-05-17	north	13	1
2037-05-24	north	12	1
2037-05-24	tropics	12	1
2037-06-07	north	12	1
2037-06-21	south	13	1
2037-06-28	south	13	2
2037-06-28	tropics	12	1
2037-07-05	north	12	1
2037-07-05	south	12	1
2037-07-12	south	12	1
2037-07-12	south	13	1
2037-07-19	south	12	1
2037-07-19	south	13	3
2037-07-26	south	12	2
2037-07-26	south	13	5
2037-08-02	south	12	3
2037-08-02	south	13	6
2037-08-09	north	13	1
2037-08-09	south	12	3
2037-08-09	south	13	6
2037-08-16	south	13	9
2037-08-16	tropics	12	1
2037-08-23	south	12	1
2037-08-23	south	13	3
2037-08-30	south	12	1
2037-08-30	south	13	6
2037-09-06	south	12	1
2037-09-06	south	13	9
2037-09-06	tropics	12	1
2037-09-06	tropics	13	1
2037-09-13	north	12	1
2037-09-13	north	13	1
2037-09-13	south	13	8
2037-09-13	tropics	12	1
2037-09-13	tropics	13	1
2037-09-20	north	13	1
2037-09-20	south	13	4
2037-09-20	tropics	12	1
2037-09-20	tropics	13	1
2037-09-27	tropics	12	1
2037-09-27	tropics	13	1
2037-10-04	north	12	1
2037-10-04	north	13	1
2037-10-04	south	13	1
2037-10-04	tropics	12	1
2037-10-04	tropics	13	1
2037-10-04	tropics	14	1
2037-10-11	north	12	1
2037-10-11	south	13	2
2037-10-18	north	13	1
2037-10-18	north	14	1
2037-10-18	tropics	13	1
2037-10-25	north	12	1
2037-10-25	north	13	2
2037-10-25	south	13	1
2037-10-25	south	14	1
2037-10-25	tropics	12	1
2037-11-01	north	13	2
2037-11-01	tropics	13	2
2037-11-08	north	13	1
2037-11-08	south	13	2
2037-11-08	tropics	13	1
2037-11-15	north	12	1
2037-11-15	north	13	2
2037-11-15	north	14	1
2037-11-22	north	13	4
2037-11-22	south	13	1
2037-11-22	tropics	13	2
2037-11-29	north	13	4
2037-11-29	north	14	1
2037-11-29	tropics	12	2
2037-11-29	tropics	13	4
2037-12-06	north	12	1
2037-12-06	north	13	5
2037-12-06	tropics	12	1
2037-12-06	tropics	13	1
2037-12-13	north	12	1
2037-12-13	north	13	7
2037-12-13	north	14	1
2037-12-13	tropics	13	4
2037-12-20	north	13	5
2037-12-20	north	14	1
2037-12-20	tropics	13	3
2037-12-27	north	13	18
2037-12-27	north	14	4
2037-12-27	tropics	13	3
2038-01-03	north	13	11
