variant	pivot_date	model	location	mae	mse	normalized_mae	max_r_data	correlation	r2	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency	converged
24	2050-04-01	FGA	south	0.026447301766633534	0.0011223057122153584	0.35374578139109136	0.07476358209172293	0.9701314665867782	0.034994100651672855	4	57.0	56.774349738443846	0.07135520713999426	0.03755625349462759	0.12745098039215685	0.07631710201823046	True
25	2050-04-01	FGA	south	0.02036542121324088	0.0005438664495508984	0.31340869166545227	0.06498039701776978	0.9908632565683118	0.7699313298396383	24	3684.0	3683.8197105013637	0.9556138218966884	0.956409035173893	1.0	1.0	True
26	2051-10-01	FGA	south	0.19527983104814253	0.03871876151392236	5.021235285027507	0.0388907947871781	-0.4244259618097115	-108.9355944775368	19	1470.0	1469.9402041564913	0.8655420369189495	0.8412834533526075	1.0	0.9828332273422371	False
27	2051-10-01	FGA	south	0.13206153097898435	0.018170841476746857	2.2056302331297797	0.05987473738587162	-0.9912626860661182	-41.445020467936274	10	383.0	382.8906307820384	0.2282444569761492	0.21511242167095107	0.33544303797468356	0.3244915251236043	False
26	2052-04-01	FGA	south	0.0015271655880667292	3.4632949697039604e-06	0.029834830200169516	0.051187339690575887	0.9986974208661702	0.9968028631192983	27	1788.0	1787.9876157436652	0.7635953741357527	0.7633473000296197	1.0	0.9985565398481754	True
27	2052-04-01	FGA	south	0.0032026899821764425	1.28924791651245e-05	0.053863766227112565	0.05945907994388173	0.9973867718893996	0.9865542999757335	18	656.0	655.8315018592709	0.3458825311589198	0.3325588022807529	0.639344262295082	0.5867920856604677	True
26	2052-10-01	FGA	south	0.31019919794184103	0.09626657628946068	5.856040271610628	0.0529708102325814	-0.5433887325026348	-2386.964312232702	6	164.0	164.16742919326583	0.5022165759385765	0.49215581620806964	0.5975609756097561	0.5523786956643593	False
27	2052-10-01	FGA	south	0.036216818790618055	0.0024632646605700723	0.9975098550935679	0.03630722905210883	0.8696917025371036	-6.087208455600626	16	295.0	294.63164663781765	0.745712140829906	0.7311118439121779	1.0	0.9481345820586117	False
27	2053-04-01	FGA	south	0.22496086289106007	0.05063497714638574	15.47127714008466	0.014540548970466511	0.9800165219896004	-521.6999155923638	10	133.0	133.06845803583923	0.8829476317605607	0.8745865199563727	1.0	0.9789603832359703	False
28	2053-10-01	FGA	south	0.1316276961319333	0.017707132142827885	3.47966325875584	0.03782771100068949	-0.9258756805396369	-93.43541827733056	12	439.0	438.9444273003754	0.7200552904091775	0.699091343391501	0.9	0.723424749080107	False
29	2053-10-01	FGA	south	0.019738792277868452	0.00043896118532256987	0.5789094026298042	0.034096513527334844		-7.896431570844779	9	159.0	158.98181670562735	0.30313920421448315	0.28826926895183713	0.4444444444444444	0.3132702512316045	False
28	2054-04-01	FGA	south	0.1312750803781459	0.019403102414705654	3.3378980991288203	0.039328666268274706	-0.6302697054632453	-28.175372525889387	21	773.0	772.9297559886164	0.6964646438429265	0.6894183359156052	0.9	0.7071379378734869	False
