path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_7,7,152727.1861,90000000.0,0.0,89847272.8139,0.6227,1.8745770077685187,213809.6925,3.1428,30.0,0.75,inf,0.25,0.01364,2.9301,971.0,0.30630914826498423,3170.0,59.0,1.3409090909090908,44.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_5,5,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_6,6,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_1,1,152954.672,90000000.0,0.0,89847045.328,0.6214,1.7035004302949541,214286.2097,3.5429,30.0,1.0,inf,0.25,0.01361,3.4733,1326.0,0.4384920634920635,3024.0,70.0,0.9859154929577465,71.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_8,8,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_9,9,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_9,9,168905.5448,90000000.0,0.0,89831094.4552,0.4971,1.7648187388366354,236547.0761,3.2656,30.0,0.75,inf,0.25,0.01367,3.0602,1032.0,0.3198016733808491,3227.0,47.0,6.714285714285714,7.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_10,10,175679.2852,90000000.0,0.0,89824320.7148,1.602,3.9354554734658005,246079.0192,4.3734,30.0,1.0,inf,0.25,0.01359,5.0869,1410.0,0.45705024311183146,3085.0,115.0,1.6666666666666667,69.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_12,12,170906.6669,90000000.0,0.0,89829093.3331,0.7621,1.8343715582791789,239374.9341,3.5968,30.0,1.0,inf,0.25,0.01365,3.3458,1391.0,0.43921692453425953,3167.0,64.0,1.6,40.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_13,13,169623.0128,90000000.0,0.0,89830376.9872,0.6646,1.8222530609392502,237568.5128,3.4051,30.0,1.0,inf,0.25,0.01364,3.5817,1405.0,0.45646523716699156,3078.0,51.0,8.5,6.0,False
