strain,tsne_x,tsne_y
500271e6,-27.285095340660558,40.02891347191998
47e018fd,-27.152827214971065,39.82553507616584
2ea4fd9b,-27.040716542745788,39.01043517239501
1b465b13,-27.194460331060814,38.62626220693997
2264d2d9,-27.628680527488022,38.218797843184625
5c262041,-27.03250817420165,39.100789700210115
5218462e,-27.882946023878894,38.159099308205356
457930e9,-27.809329237191488,38.178005328942504
78d1fa41,-27.765756849553146,38.18671598856273
eeabe66,-27.32750046083459,38.44848261587102
33896e08,-28.30012309183499,38.176733120095854
35922259,-27.194457189419207,38.62626778835031
7000b0b8,-30.07712837178964,40.371727338665536
72a58d7d,-30.133198045531046,40.41559354177528
13196c71,-30.082652689287976,40.372405912464394
18e30f2b,-28.708882814524436,41.05415639145333
789d7fe3,-28.722912499992773,41.095443570789215
16130368,-18.49126434773501,34.06874938713519
51eb20ab,-18.59902427226891,34.028745623966195
40fecc22,-18.603679860382755,34.02900007522996
6cbb4a81,-18.601157882016942,34.02807356720582
4b5e8233,-18.59869815843158,34.02782868238592
7c62c8ac,-18.64009869091239,34.02084829114911
40906ad,-18.6138545009315,34.027135461522946
3541ef9a,-18.631861338020073,34.01599864746163
543dfd15,-18.65201031413208,34.008088890960025
54174be3,-25.263224479425325,23.738471506578215
109de5eb,-24.34290368734154,22.109311285071175
26e2db90,-25.29049702945856,24.014737296752827
40ef7de4,-25.43753091106352,23.98551911976291
504ecea7,-25.471737061402074,24.00054047800026
6f9e89d0,-24.99619231486821,23.722508389872146
3e5129a6,-25.466168984523932,24.00597132211787
2916088e,-25.381530839222293,24.03101445364833
14a6689e,-25.18020546834905,23.486448846250713
446a571f,-25.098860721570244,23.40496614618722
6f0af04a,-25.414975762271133,23.551991057887165
a3bdc97,-25.197582021729588,23.85854433859674
73f32cc1,-25.43445140512863,23.557688565222005
3c9c4919,-25.164109653988064,23.991193324920044
38fcd188,-25.162890841740026,23.96326984268699
6535902c,-25.216990270190276,23.94723886917884
6d9dc3ad,-25.15534977160255,23.528256164144665
60082bcd,-25.32426979603591,23.926920373016163
34d9903b,-25.483576939598578,23.45981344363673
1f5c9ae,-25.438312290073632,23.866052973389003
272ed7e0,-25.445048013955663,23.930862539607084
694939d9,-24.5542013912376,23.88915788679257
caa8b1,-25.528535778605907,23.584884473615073
66e7e74,-25.286936765400114,23.90119869215459
4c877d21,-25.211303604006574,23.510449339764683
5da05aae,-25.429092069089705,23.516535299553205
5ba65137,-25.166854270023194,23.49888014254509
7e1897ac,-24.638431243813642,24.02748882070312
1a232f68,-25.29852048720108,23.979343392126612
3872b0ba,-25.492982772196232,23.84852265885515
