path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_15,15,112930.367,90000000.0,0.0,89887069.633,0.4893,1.2825557524911018,158168.0786,4.1606,30.0,0.75,inf,0.2,0.01363,3.689,1160,0.36755386565272496,3156,64,1.1228070175438596,57
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_14,14,147363.5882,90000000.0,0.0,89852636.4118,0.6438,1.6086334570082321,206408.4616,3.4774,30.0,0.75,inf,0.2,0.01361,3.4658,1332,0.38264866417696064,3481,59,1.9666666666666666,30
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_16,16,155917.8633,90000000.0,0.0,89844082.1367,0.6248,1.5993657175813916,218376.9174,3.4523,30.0,0.75,inf,0.2,0.01368,3.2786,1238,0.3862714508580343,3205,51,1.7586206896551724,29
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_19,19,136603.6343,90000000.0,0.0,89863396.3657,0.829,1.621087652868278,191346.9182,3.7857,30.0,0.75,inf,0.2,0.01361,4.0182,1264,0.3895223420647149,3245,66,1.2,55
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_17,17,156126.8452,90000000.0,0.0,89843873.1548,0.6098,1.7917528290224356,218651.5523,3.527,30.0,0.75,inf,0.2,0.01367,3.5215,1341,0.3965109402720284,3382,55,3.9285714285714284,14
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_2,2,140114.6611,90000000.0,0.0,89859885.3389,0.673,1.5459344099292118,196220.8619,4.0804,30.0,0.75,inf,0.2,0.01366,3.8906,1266,0.3897783251231527,3248,54,2.0,27
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_18,18,158548.2705,90000000.0,0.0,89841451.7295,0.7754,1.729094892492354,222004.0953,3.5989,30.0,0.75,inf,0.2,0.01365,3.6125,1226,0.3725311455484655,3291,66,2.2,30
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_20,20,197362.9528,90000000.0,0.0,89802637.0472,2.2057,7.5303622050694,276429.2576,6.1533,30.0,0.75,inf,0.2,0.0137,8.1797,1546,0.4142550911039657,3732,49,1.225,40
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_21,21,171450.3849,90000000.0,0.0,89828549.6151,0.7157,2.0281571912740803,240127.2871,3.2932,30.0,0.75,inf,0.2,0.01363,3.1177,1276,0.37093023255813956,3440,54,2.16,25
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_22,22,144856.6672,90000000.0,0.0,89855143.3328,0.6246,1.6635754501561508,202868.4176,3.7191,30.0,0.75,inf,0.2,0.01371,3.5135,1244,0.38681592039800994,3216,34,34.0,1
