date	country	variant	sequences
2028-02-06	tropics	12	1
2028-02-06	tropics	16	5
2028-02-06	tropics	20	16
2028-02-06	tropics	27	1
2028-02-13	north	20	1
2028-02-13	tropics	12	1
2028-02-13	tropics	20	12
2028-02-13	tropics	27	1
2028-02-20	north	20	1
2028-02-20	tropics	12	4
2028-02-20	tropics	16	5
2028-02-20	tropics	20	10
2028-02-20	tropics	27	1
2028-02-27	north	16	1
2028-02-27	north	20	3
2028-02-27	tropics	5	1
2028-02-27	tropics	12	2
2028-02-27	tropics	16	1
2028-02-27	tropics	20	15
2028-02-27	tropics	27	1
2028-03-05	north	20	1
2028-03-05	tropics	12	2
2028-03-05	tropics	16	2
2028-03-05	tropics	20	9
2028-03-05	tropics	27	1
2028-03-12	north	20	8
2028-03-12	tropics	12	1
2028-03-12	tropics	16	1
2028-03-12	tropics	20	12
2028-03-19	north	16	1
2028-03-19	north	20	2
2028-03-19	tropics	12	1
2028-03-19	tropics	16	1
2028-03-19	tropics	20	14
2028-03-19	tropics	27	1
2028-03-26	north	16	2
2028-03-26	north	20	3
2028-03-26	tropics	12	1
2028-03-26	tropics	16	2
2028-03-26	tropics	20	13
2028-03-26	tropics	27	4
2028-04-02	north	20	3
2028-04-02	tropics	5	1
2028-04-02	tropics	12	1
2028-04-02	tropics	16	3
2028-04-02	tropics	20	9
2028-04-02	tropics	27	1
2028-04-09	north	20	5
2028-04-09	tropics	5	1
2028-04-09	tropics	12	2
2028-04-09	tropics	16	4
2028-04-09	tropics	20	11
2028-04-09	tropics	27	4
2028-04-16	north	20	4
2028-04-16	north	27	1
2028-04-16	tropics	12	2
2028-04-16	tropics	16	1
2028-04-16	tropics	20	9
2028-04-16	tropics	27	8
2028-04-23	north	12	1
2028-04-23	north	20	3
2028-04-23	south	20	1
2028-04-23	tropics	12	1
2028-04-23	tropics	16	3
2028-04-23	tropics	20	13
2028-04-23	tropics	27	2
2028-04-30	north	20	6
2028-04-30	tropics	12	3
2028-04-30	tropics	16	1
