pivot_date	model	location	inference_method	iterations	learning_rate	num_samples	num_iterations	initial_loss	final_loss	min_loss	total_improvement	converged	relative_change	threshold	window	final_iteration
2052-04-01	FGA	tropics	InferFullRank	50000		500	50000	203383.046875	918.8722534179688		202464.171875	False	1.0125993490219116	0.01	100	50000
2052-10-01	FGA	tropics	InferFullRank	50000		500	50000	665651.875	924.27490234375		664727.625	True	0.006666469853371382	0.01	100	50000
2053-04-01	FGA	tropics	InferFullRank	50000		500	50000	642462.625	1093.29833984375		641369.3125	True	0.002291222335770726	0.01	100	50000
2053-10-01	FGA	tropics	InferFullRank	50000		500	50000	459371.6875	1002.1920166015625		458369.5	True	0.003116397187113762	0.01	100	50000
2054-04-01	FGA	tropics	InferFullRank	50000		500	50000	82099.109375	878.5494384765625	864.0079345703125	81220.5625	True	0.0094583285972476	0.01	100	50000
2054-10-01	FGA	tropics	InferFullRank	50000		500	50000	330178.09375	535.3831787109375		329642.71875	True	0.061763081699609756	0.01	100	50000
2026-04-01	GARW	north	InferFullRank	50000		500	50000	23760.095703125	377.03558349609375	351.27276611328125	23383.060546875	True	0.011995486915111542	0.01	100	50000
2026-10-01	GARW	north	InferFullRank	50000		500	50000	58809.3671875				False		0.01	100	50000
2027-04-01	GARW	north	InferFullRank	50000		500	50000	629371.4375	466.4677734375		628905.0	True	0.051571764051914215	0.01	100	50000
2029-04-01	GARW	north	InferFullRank	50000		500	50000	550547.5625				False		0.01	100	50000
2029-10-01	GARW	north	InferFullRank	50000		500	50000	142332.296875	976.3555297851562		141355.9375	True	0.01286381483078003	0.01	100	50000
2031-04-01	GARW	north	InferFullRank	50000		500	50000	379069.65625				False		0.01	100	50000
2033-04-01	GARW	north	InferFullRank	50000		500	50000	79594.5859375	873.6417236328125		78720.9453125	True	0.0016142971580848098	0.01	100	50000
2033-10-01	GARW	north	InferFullRank	50000		500	50000	53914.9140625	889.2725830078125		53025.640625	True	0.017156125977635384	0.01	100	50000
2034-04-01	GARW	north	InferFullRank	50000		500	50000	720939.375	914.421875		720024.9375	True	0.0065279691480100155	0.01	100	50000
2034-10-01	GARW	north	InferFullRank	50000		500	50000	229317.234375	403.6688232421875		228913.5625	True	0.009143427014350891	0.01	100	50000
