date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2025-06-15	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-16	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-17	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-18	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-19	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-20	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-21	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-22	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-23	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-24	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-25	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-26	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-27	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-28	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-29	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-06-30	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-01	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-02	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-03	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-04	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-05	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-06	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-07	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-08	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-09	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-10	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-11	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-12	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-13	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-14	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-15	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-16	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-17	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-18	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-19	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-20	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-21	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-22	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-23	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-24	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-25	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-26	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-27	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-28	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-29	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-30	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-07-31	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-01	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-02	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-03	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-04	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-05	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-06	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-07	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-08	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-09	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-10	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-11	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-12	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-13	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-14	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-15	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-16	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-17	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-18	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-19	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-20	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-21	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-22	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-23	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-24	south	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-08-25	south	20	0.9996283	0.9998943	0.9986422	0.99982667	0.9991541	0.9997468	0.9994242								FGA
2025-08-26	south	20	0.9939556	0.9982914	0.97817975	0.9971743	0.98637664	0.995891	0.9906836								FGA
2025-08-27	south	20	0.9872222	0.9963933	0.9542999	0.99399024	0.9712328	0.9913283	0.98033607								FGA
2025-08-28	south	20	0.98371774	0.99542934	0.94218755	0.99237436	0.9634127	0.98900557	0.9749491								FGA
2025-08-29	south	20	0.9799199	0.9943593	0.92929626	0.9905867	0.9551228	0.9864275	0.9692435								FGA
2025-08-30	south	20	0.9744959	0.9928358	0.9115611	0.98802865	0.94352406	0.9828088	0.96109486								FGA
2025-08-31	south	20	0.9690345	0.9913123	0.8941725	0.9854085	0.9321457	0.9791674	0.9529627								FGA
2025-09-01	south	20	0.9639877	0.98990095	0.8784432	0.9829977	0.9216777	0.9758669	0.9454493								FGA
2025-09-02	south	20	0.9587332	0.9883892	0.8621532	0.9803918	0.9104203	0.9722379	0.937458								FGA
2025-09-03	south	20	0.9529206	0.98673934	0.8446754	0.97753483	0.89832693	0.9683781	0.9288788								FGA
2025-09-04	south	20	0.9470221	0.98503923	0.82691747	0.9745736	0.8860495	0.96432126	0.9202603								FGA
2025-09-05	south	20	0.94095755	0.9832914	0.8091867	0.9715962	0.87363034	0.9601196	0.91107845								FGA
2025-09-06	south	20	0.93486595	0.98142666	0.7911178	0.96840066	0.86078894	0.9558101	0.9014405								FGA
2025-09-07	south	20	0.9284468	0.9794289	0.7727256	0.9649965	0.84752727	0.9508972	0.89186263								FGA
2025-09-08	south	20	0.9221096	0.9773419	0.7548262	0.9616675	0.8344149	0.9460466	0.8823964								FGA
2025-09-09	south	20	0.9187161	0.97622937	0.7456493	0.95996845	0.82801354	0.9439816	0.8772725								FGA
2025-09-10	south	20	0.9155637	0.9753111	0.73762167	0.9584892	0.82294744	0.9421775	0.8733122								FGA
2025-09-11	south	20	0.91010123	0.97358197	0.7233706	0.9557381	0.81220555	0.93841976	0.86602426								FGA
2025-09-12	south	20	0.9045507	0.97179514	0.7096516	0.95313287	0.8014191	0.93451375	0.85806274								FGA
2025-09-13	south	20	0.89962125	0.9702165	0.698567	0.9503564	0.79301536	0.9307853	0.85139334								FGA
2025-09-14	south	20	0.89405525	0.96850747	0.6885035	0.9473729	0.78544384	0.92683667	0.8448789								FGA
2025-09-15	south	20	0.88763887	0.96656543	0.6772236	0.9439622	0.77471113	0.92293406	0.8361789								FGA
2025-09-16	south	20	0.8816434	0.96453726	0.6659147	0.94041497	0.7634405	0.9182968	0.82714224								FGA
2025-09-17	south	20	0.87606287	0.9624487	0.6548109	0.9367723	0.7520769	0.91433287	0.81925744								FGA
2025-09-18	south	20	0.87003857	0.96022505	0.6434349	0.93289346	0.74026126	0.9097585	0.81027126								FGA
