country	model	pivot_date	lead	variant	date	MAE	MSE	loglik	coverage_posterior	coverage_predictive	total_seq	raw_freq	smoothed_freq	pred_freq
south	GARW	2053-04-01	-58	28	2053-02-02	0.07511555857142857	0.005642347139497716	-0.3169228856590902	0	1	2.0	0.0	0.07142857142857142	0.14654413
south	GARW	2053-04-01	-51	28	2053-02-09	0.062379074285714264	0.0038911489087426585	-0.3295291098210968	1	1	2.0	0.0	0.21428571428571427	0.15190664
south	GARW	2053-04-01	-44	28	2053-02-16	0.1277912257142857	0.016330597369559514	-0.17188389124228648	1	1	1.0	0.0	0.2857142857142857	0.15792306
south	GARW	2053-04-01	-37	28	2053-02-23	0.12143419571428571	0.014746263888775446		1	0	0.0	0.0	0.2857142857142857	0.16428009
south	GARW	2053-04-01	-30	28	2053-03-02	0.25784953857142856	0.06648638454149862	-1.7677194207308364	0	1	1.0	1.0	0.42857142857142855	0.17072189
south	GARW	2053-04-01	-23	28	2053-03-09	0.2513254585714285	0.06316448612613883	-1.7302168500766095	0	1	1.0	1.0	0.42857142857142855	0.17724597
south	GARW	2053-04-01	-16	28	2053-03-16	0.24393530857142856	0.059504434767838066		0	0	0.0	0.0	0.42857142857142855	0.18463612
south	GARW	2053-04-01	-9	28	2053-03-23	0.23636882857142855	0.05587022312022938	-3.298410509923999	0	1	2.0	1.0	0.42857142857142855	0.1922026
south	GARW	2053-04-01	-2	28	2053-03-30	0.08624144571428569	0.007437586958890085		1	0	0.0	0.0	0.2857142857142857	0.19947284
south	GARW	2053-04-01	5	28	2053-04-06	0.06468877714285715	0.004184637888238237		1	0	0.0	0.0	0.14285714285714285	0.20754592
south	GARW	2053-04-01	12	28	2053-04-13	0.07320860714285715	0.005359500159797195		1	0	0.0	0.0	0.14285714285714285	0.21606575
south	GARW	2053-04-01	19	28	2053-04-20	0.22390544	0.0501336460615936		0	0	0.0	0.0	0.0	0.22390544
south	GARW	2053-04-01	26	28	2053-04-27	0.16034766857142857	0.025711374816292702		0	0	0.0	0.0	0.07142857142857142	0.23177624
south	GARW	2053-04-01	33	28	2053-05-04	0.12101953095238097	0.014645726871934295		1	0	0.0	0.0	0.11904761904761904	0.24006715
south	GARW	2053-04-01	40	28	2053-05-11	0.12992068095238096	0.016879383339130364		1	0	0.0	0.0	0.11904761904761904	0.2489683
south	GARW	2053-04-01	47	28	2053-05-18	0.13953521095238094	0.019470075095525452	-0.9585838599121692	1	1	2.0	0.5	0.11904761904761904	0.25858283
south	GARW	2053-04-01	54	28	2053-05-25	0.006090778095238059	3.709757780543175e-05	-0.8421099960191163	1	1	3.0	0.3333333333333333	0.2619047619047619	0.26799554
south	GARW	2053-04-01	61	28	2053-06-01	0.013911318095238101	0.00019352477114689903	-0.3227098857082064	1	1	1.0	0.0	0.2619047619047619	0.27581608
south	GARW	2053-04-01	68	28	2053-06-08	0.04778429333333334	0.002283338689366045	-0.3362409193771096	1	1	1.0	0.0	0.3333333333333333	0.28554904
south	GARW	2053-04-01	75	28	2053-06-15	0.060996937142857144	0.0037206263408096655	-2.43380594631272	1	1	2.0	1.0	0.35714285714285715	0.29614592
south	GARW	2053-04-01	82	28	2053-06-22	0.050629857142857115	0.0025633824343061196	-0.3660227848968214	1	1	1.0	0.0	0.3571428571428571	0.306513
south	GARW	2053-04-01	89	28	2053-06-29	0.13673171238095227	0.018695561170627456	-1.2730572661401636	1	1	4.0	0.5	0.4523809523809523	0.31564924
south	GARW	2053-04-01	96	28	2053-07-06	0.12830311238095227	0.01646168864663927	-1.5466081590918805	1	1	3.0	0.6666666666666666	0.4523809523809523	0.32407784
south	GARW	2053-04-01	103	28	2053-07-13	0.059897835238095165	0.003587750666209995	-0.8109573493652804	1	1	3.0	0.3333333333333333	0.39523809523809517	0.33534026
south	GARW	2053-04-01	110	28	2053-07-20	0.1445546104761905	0.020896035409923165	-1.4490020918116882	1	1	3.0	0.6666666666666666	0.4904761904761905	0.34592158
south	GARW	2053-04-01	117	28	2053-07-27	0.09861485476190479	0.009724889579711576	-0.8805698349206135	1	1	2.0	0.0	0.4547619047619048	0.35614705
south	GARW	2053-04-01	124	28	2053-08-03	0.007766450476190456	6.031775299911896e-05	-1.6177104572409755	1	1	5.0	0.6	0.3595238095238095	0.36729026
south	GARW	2053-04-01	131	28	2053-08-10	0.030122882380952343	0.0009073880429366891	-1.3228761628725962	1	1	3.0	0.6666666666666666	0.34761904761904766	0.37774193
south	GARW	2053-04-01	138	28	2053-08-17	0.08214037904761906	0.006747041870086536	-1.033740264402062	1	1	4.0	0.25	0.3059523809523809	0.38809276
south	GARW	2053-04-01	145	28	2053-08-24	0.05813417333333332	0.0033795821091500426	-1.5314812365310153	1	1	3.0	0.0	0.3416666666666667	0.39980084
south	GARW	2053-04-01	152	28	2053-08-31	0.12008093333333336	0.014419430550204452	-1.0928478920560394	1	1	4.0	0.25	0.29166666666666663	0.4117476
south	GARW	2053-04-01	159	28	2053-09-07	0.15579267714285716	0.02427135825133853	-1.3063917510398757	1	1	8.0	0.375	0.26785714285714285	0.42364982
south	GARW	2053-04-01	166	28	2053-09-14	0.16705702714285714	0.027908050317809307	-1.158645160192603	1	1	4.0	0.25	0.26785714285714285	0.43491417
south	GARW	2053-04-01	173	28	2053-09-21	0.12139372999999998	0.014736437683312894	-1.194164199219999	1	1	4.0	0.25	0.325	0.44639373
south	GARW	2053-04-01	-359	29	2052-04-07	3.8676366000000003e-16	1.4958612869659562e-31	-3.8676366000000013e-16	0	1	1.0	0.0	0.0	3.8676366000000003e-16
south	GARW	2053-04-01	-352	29	2052-04-14	2.6972843000000003e-16	7.275342595026492e-32	-5.394568600000002e-16	0	1	2.0	0.0	0.0	2.6972843000000003e-16
south	GARW	2053-04-01	-345	29	2052-04-21	2.237328e-16	5.005636579583999e-32	-1.1186640000000002e-15	0	1	5.0	0.0	0.0	2.237328e-16
south	GARW	2053-04-01	-338	29	2052-04-28	1.8485102000000002e-16	3.416989959504041e-32	-3.697020400000001e-16	0	1	2.0	0.0	0.0	1.8485102000000002e-16
south	GARW	2053-04-01	-331	29	2052-05-05	1.5034859000000002e-16	2.2604698514988107e-32	-4.510457700000001e-16	0	1	3.0	0.0	0.0	1.5034859000000002e-16
south	GARW	2053-04-01	-324	29	2052-05-12	1.2251678e-16	1.50103613815684e-32	-8.5761746e-16	0	1	7.0	0.0	0.0	1.2251678e-16
south	GARW	2053-04-01	-317	29	2052-05-19	9.83626e-17	9.67520107876e-33	-3.934504e-16	0	1	4.0	0.0	0.0	9.83626e-17
south	GARW	2053-04-01	-310	29	2052-05-26	7.832257e-17	6.1344249714049e-33	-5.4825799e-16	0	1	7.0	0.0	0.0	7.832257e-17
south	GARW	2053-04-01	-303	29	2052-06-02	6.202281000000001e-17	3.8468289602961006e-33	-4.961824800000001e-16	0	1	8.0	0.0	0.0	6.202281000000001e-17
south	GARW	2053-04-01	-296	29	2052-06-09	4.8610740000000005e-17	2.3630040433476005e-33	-7.291611000000001e-16	0	1	15.0	0.0	0.0	4.8610740000000005e-17
