batch,config,run,genetic_bin_low,genetic_bin_high,n_pairs,median_antigenic_distance,q25_antigenic_distance,q75_antigenic_distance
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,11,20,90769,19.818548811151636,14.174814569510248,24.98405759399381
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,21,40,15615,21.294603113699957,17.781597921727958,24.58564616132755
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,0,2,12384,1.274925229180127,0.0,1.9762398867546411
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,3,5,29314,3.829084538110904,2.7781350903078854,5.498432617573846
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,6,10,49730,9.473533510258987,6.769072421683785,12.514037008495697
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,11,20,88937,20.777834894425357,16.265753822064315,26.111625548785735
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,21,40,19635,29.05527946879878,25.735475955575406,32.304368754769555
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,0,2,11342,1.0619665235024458,0.0,2.0853130987935615
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,3,5,27648,3.7840253500736516,2.6106150865265474,5.5642628199969115
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,6,10,46554,8.638866460942658,6.51552811827253,11.009167359333558
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,11,20,102539,20.146301835572704,15.565260306207538,26.190266828728568
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,21,40,11917,36.40737262753246,31.746252037209057,40.31240903071907
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,0,2,13927,0.9677701483306852,0.0,2.2998612675550683
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,3,5,32595,4.25832471519024,2.9427386700147156,5.864255626249594
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,6,10,60283,10.229278888074173,8.033746451687405,12.927809014678397
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,11,20,90052,22.923711700551458,18.465948992943744,28.701996352170347
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,21,40,3143,38.97687775245729,36.72344553170358,41.241061961593566
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,0,2,11175,1.0809478988369425,0.0,2.058380261273414
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,3,5,28632,4.333286579491368,2.79145808673532,5.969337897120583
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,6,10,57632,9.448571982051044,7.055830352268969,11.531972320899838
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,11,20,99480,19.410757662698277,15.62687679672429,23.9616343954247
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,21,40,3081,29.417679867895767,24.44348592754315,33.150076554059424
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,0,2,12240,1.305971883134772,0.0,2.3853602369453535
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,3,5,27771,4.320498935308281,2.859836584492198,5.753007361371962
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,6,10,62635,10.412322397044761,8.268344964380722,12.918820882727646
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,11,20,90945,19.553591417691024,17.046974272286562,22.205008302858165
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,21,40,6409,22.817204520273727,21.71260978164532,24.440205127207914
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,0,2,14380,1.5520826943175419,0.0,2.5085162666405028
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,3,5,33975,4.49788784431093,2.783875464168613,5.948824497327183
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,6,10,58809,10.557099340728017,8.111187061090382,12.999125758296207
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,11,20,81562,21.500664492522084,17.57342666300457,25.16868326631332
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,21,40,11274,31.479402943035627,29.128460905616006,32.95639524735677
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,0,2,14023,1.155994744797743,0.0,2.2855982433489914
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,3,5,29193,4.2257853234635565,2.6295968740474254,5.488861416541688
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,6,10,51551,9.404195103250464,7.288303852749282,11.499786858894385
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,11,20,83205,18.60118069048306,15.62783544864739,21.88442442034974
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,21,40,22028,25.9575871193761,25.275733177508663,26.600448479865904
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,0,2,11603,1.0998620868090696,0.0,2.1092913170067327
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,3,5,24207,3.6289111659008655,2.4579231090495886,5.048958590640256
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,6,10,48281,8.215208146480528,6.033905323254578,10.503305990496516
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,11,20,102150,16.638462043410144,13.107815058582418,21.191363097733948
