config,run,method,bg_bin,bg_bin_low,same_rate,null_rate,n_same,n_null
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,2-3,2,0.2555970149253731,0.2259083728278041,536,3798
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,4-7,4,0.01532567049808429,0.017330151952781616,1044,7963
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,8-15,8,0.0,0.0003815920018316416,1676,13103
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,16-31,16,0.0,0.00010087763542822556,1137,9913
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,0,0,0.9673202614379085,0.9527736131934033,153,1334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,1,1,0.35046728971962615,0.21906693711967545,214,1479
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,2-3,2,0.026119402985074626,0.018694049499736704,536,3798
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,4-7,4,0.0019157088122605363,0.0013813889237724475,1044,7963
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,8-15,8,0.0005966587112171838,0.001679004808059223,1676,13103
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,16-31,16,0.0,0.00010087763542822556,1137,9913
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,0,0,0.9702380952380952,0.9493865030674846,168,1304
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,1,1,0.11894273127753303,0.15397923875432526,227,1734
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,2-3,2,0.036603221083455345,0.04224719101123595,683,4450
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,4-7,4,0.0007209805335255948,0.002374356944994064,1387,10108
