config,run,site_class,min_progeny,x,cumulative_fraction,n_substitutions
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,8,0.9379084967320261,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,9,0.9411764705882353,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,10,0.9771241830065359,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,11,0.9803921568627451,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,12,0.9869281045751634,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,13,0.9934640522875817,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,1,14,1.0,306
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,1,0.514475271411339,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,2,0.7720144752714113,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,3,0.9010856453558505,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,4,0.9601930036188179,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,5,0.9861278648974668,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,6,0.9975874547647768,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,7,0.9987937273823885,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,8,0.9987937273823885,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,1,9,1.0,1658
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,1,0.5699481865284974,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,2,0.7875647668393783,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,3,0.8911917098445595,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,4,0.9533678756476683,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,5,0.9740932642487047,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,6,0.9948186528497409,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,2,7,1.0,193
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,2,1,0.8066298342541437,724
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,2,2,0.9723756906077348,724
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,2,3,0.9958563535911602,724
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,2,4,1.0,724
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,5,1,0.7421875,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,5,2,0.9375,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,5,3,0.984375,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,5,4,0.9921875,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,5,5,1.0,128
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,5,1,0.9343065693430657,274
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,5,2,1.0,274
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,10,1,0.75,92
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,10,2,0.9565217391304348,92
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,10,3,1.0,92
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,10,1,0.992,125
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,10,2,1.0,125
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,20,1,0.782608695652174,69
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,20,2,0.9710144927536232,69
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,20,3,1.0,69
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,20,1,1.0,52
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,50,1,0.868421052631579,38
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,50,2,1.0,38
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,50,1,1.0,18
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,100,1,0.9642857142857143,28
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,100,2,1.0,28
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,100,1,1.0,5
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,1,0.3367003367003367,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,2,0.5656565656565656,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,3,0.6734006734006734,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,4,0.7239057239057239,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,5,0.8114478114478114,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,6,0.8619528619528619,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,7,0.8922558922558923,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,8,0.936026936026936,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,9,0.9595959595959596,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,10,0.9764309764309764,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,11,0.9932659932659933,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,12,0.9966329966329966,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,1,13,1.0,297
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,1,0.5058317986494782,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,2,0.7667280540208717,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,3,0.8956414978514426,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,4,0.952731737262124,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,5,0.9821976672805403,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,6,0.996316758747698,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,1,7,1.0,1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,2,1,0.5679611650485437,206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,2,2,0.7330097087378641,206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,2,3,0.8640776699029126,206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,2,4,0.9368932038834952,206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,2,5,0.970873786407767,206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,2,6,1.0,206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,2,1,0.8059490084985835,706
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,2,2,0.9688385269121813,706
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,2,3,0.9957507082152974,706
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,2,4,1.0,706
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,5,1,0.6666666666666666,129
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,5,2,0.875968992248062,129
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,5,3,0.9612403100775194,129
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,5,4,0.9922480620155039,129
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,5,5,1.0,129
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,5,1,0.9080882352941176,272
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,5,2,1.0,272
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,10,1,0.7821782178217822,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,10,2,0.9603960396039604,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,10,3,0.9702970297029703,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,10,4,1.0,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,10,1,0.9545454545454546,132
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,10,2,1.0,132
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,20,1,0.8088235294117647,68
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,20,2,0.9558823529411765,68
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,20,3,1.0,68
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,20,1,0.9803921568627451,51
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,20,2,1.0,51
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,50,1,0.825,40
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,50,2,0.975,40
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,50,3,1.0,40
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,50,1,1.0,17
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,100,1,0.84,25
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,100,2,1.0,25
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,100,1,1.0,7
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,1,0.3813813813813814,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,2,0.6036036036036037,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,3,0.7207207207207207,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,4,0.8318318318318318,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,5,0.8618618618618619,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,6,0.9009009009009009,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,7,0.9219219219219219,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,8,0.9369369369369369,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,9,0.9579579579579579,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,10,0.975975975975976,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,11,0.990990990990991,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,12,0.993993993993994,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,13,0.993993993993994,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,1,14,1.0,333
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,1,0.5236952609478105,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,2,0.7630473905218956,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,3,0.8890221955608878,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,4,0.9568086382723455,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,5,0.9808038392321535,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,6,0.9928014397120576,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,7,0.9982003599280144,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,non_epitope,1,8,1.0,1667
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,1,0.6138613861386139,202
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,epitope,2,2,0.806930693069307,202
