batch,config,run,pivot_date,model,location,correlation,mae,mse,rmse,r2,n_seqs,n_cases,seq_entropy,case_entropy,seq_entropy_norm,case_entropy_norm
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2031-10-01,GARW,tropics,-0.5056404613263654,0.0017439668764608,4.8712745076745925e-06,0.0022070963974585,-0.0419737865704099,424,962255,5.1166844998447205,5.155983008236131,0.9112998965044526,0.9044886470473004
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2032-04-01,GARW,tropics,0.9776860602644653,0.0010841948039979,1.903554371704239e-06,0.0013796935789167,0.9534040001666032,1382,2938075,5.41583804997699,5.482521651577826,0.950073734266782,0.9617717093174823
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2032-10-01,GARW,tropics,-0.5233787220794396,0.0302335331928811,0.0031830668550881,0.0564186747016287,-95.11830596871944,1430,2962050,5.49624443066197,5.523231896425254,0.9641790287108394,0.9689133066082792
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2033-04-01,GARW,tropics,0.9586671187685448,0.0043013144569786,3.076913694649592e-05,0.0055469935051788,0.7208321889614189,1019,2146089,5.491659060398245,5.522223908950346,0.9633746398407786,0.968736480341404
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2033-10-01,GARW,tropics,0.9322817944994768,0.0022536545720746,1.5513164742636527e-05,0.0039386755061361,0.8655042728902556,2157,4600315,5.498356695659697,5.512097904822746,0.9645495729323676,0.9669601254234884
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2034-04-01,GARW,tropics,-0.2129579066215829,0.1010247509727791,0.0154276046378143,0.1242079089181294,-203.7811420000661,2912,6178140,5.643082603871327,5.653775207926768,0.9899381245823488,0.9918138753286312
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2034-10-01,GARW,tropics,0.9808543021026208,0.002185790629076,7.873630886286772e-06,0.0028059990887893,0.9596051851609778,1858,3876380,5.429486849110015,5.43038651334034,0.9478984375183782,0.9526258993773172
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2035-04-01,GARW,tropics,0.9846267639957444,0.0017700662596965,7.155441821626507e-06,0.0026749657608325,0.9636229718333698,2500,5196031,5.350233594499387,5.348964626961365,0.9340621324859838,0.938342459782323
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2035-10-01,GARW,tropics,0.1307039813207449,0.1487182255051873,0.0226274662277405,0.1504242873599224,-160.5129506682394,2432,5064397,5.244634334420185,5.24055173492826,0.9156262514508212,0.919324121304312
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2036-04-01,GARW,tropics,-0.7730416095614213,0.3302842334099953,0.1138867805864976,0.3374711551918143,-32510.042183638485,440,996774,4.8274781650609215,4.913033339690719,0.8643707391835801,0.8577342123836073
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2036-10-01,GARW,tropics,0.7312897020675171,0.014084575401067,0.0002036787211464,0.0142716054158769,-44.50229419871161,666,1456772,4.785012146472544,4.870206071176102,0.8567671037817498,0.8502572809467368
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2037-04-01,GARW,tropics,0.9606153368555164,0.0031706894333243,1.988424374816144e-05,0.0044591752318294,0.8588441921578176,2473,5456361,5.405357165553186,5.421389747420665,0.948235124450341,0.9464848177320038
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2037-10-01,GARW,tropics,0.9050104066439434,0.0029526517589143,2.7121393087166912e-05,0.0052078203777748,0.811748322628808,3129,6634350,5.647112771324577,5.640606123065409,0.9906451169640812,0.9895036877795114
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2038-04-01,GARW,tropics,0.6790167666767586,0.0080855289844342,9.038433954635832e-05,0.0095070678732382,-1.6023371407015223,1912,4031047,5.588918220656068,5.641494459809083,0.9804363342129347,0.984911453390512
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2038-10-01,GARW,tropics,0.9432302749307216,0.0014683152401403,3.51394107220476e-06,0.0018745508988034,0.8407381972321603,1147,2417840,5.638890673666837,5.6721178553672535,0.9892027549596952,0.99503163542214
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2039-04-01,GARW,tropics,0.692651811126826,0.0013551022612775,2.737926161203557e-06,0.0016546679912307,0.4336886560126398,727,1475499,5.511601501520072,5.5607895689076345,0.9668730438425546,0.9755018636914912
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2039-10-01,GARW,tropics,0.9406504896688752,0.0034039380085119,1.5461890965820188e-05,0.00393216110629,0.8559670627350764,507,1001577,5.540830970988974,5.59597774749627,0.9720006253826036,0.9816747521577356
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2040-04-01,GARW,tropics,0.986798628055793,0.0011970209826579,2.011957699894594e-06,0.0014184349473608,0.9660006371769876,1708,3541404,5.28642006214552,5.244599392993129,0.9229213471241638,0.9200341819776996
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2040-10-01,GARW,tropics,-0.4471745593067125,0.0335305990512856,0.0030244854104324,0.0549953217140551,-31.02882491906808,2241,4708123,5.567981180238175,5.548402527113186,0.9720772528889422,0.9733288660971078
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2041-04-01,GARW,tropics,0.9623343700319786,0.0026460933437882,1.086561764207574e-05,0.0032963036331739,0.9028186614906156,1295,2511582,5.520184961281678,5.492063507238259,0.9637328250401894,0.9634455899534036
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2041-10-01,GARW,tropics,0.8516350003656924,0.0031670792328451,1.722499620405134e-05,0.0041503007365793,0.6900243539236045,1330,2679080,5.520562464877531,5.525823214400135,0.9684450214092925,0.969367888728784
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2042-04-01,GARW,tropics,0.701894253911732,0.0093445478765032,0.0001014681066437,0.0100731378747517,-0.239649936553173,2595,5514804,5.583471055040684,5.591673955780058,0.9794807648385148,0.9809197592222756
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2042-10-01,GARW,tropics,0.9525704496255122,0.0017405612790867,6.553895215635361e-06,0.0025600576586544,0.9030038768676362,2187,4730671,5.414185881633575,5.439355931765015,0.9497839025300904,0.9541993601747591
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2043-04-01,GARW,tropics,0.9352095998589708,0.0018996942011433,8.362875026974885e-06,0.0028918635906582,0.8736762622640657,863,1866993,5.564222564081209,5.582919277368666,0.976104097088092,0.9793839692053178
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2043-10-01,GARW,tropics,0.981165204721616,0.0015387069137477,4.331920001087264e-06,0.0020813265003567,0.9558454666069508,2094,4471015,5.288507934525126,5.337020739962618,0.9277368406677412,0.9317553870202288
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2044-04-01,GARW,tropics,0.992917222331754,0.0011358041201894,2.078137766301698e-06,0.001441574752242,0.9822586537540324,2406,5124969,5.406769948611318,5.457799475188258,0.9484829620081414,0.9528413528927856
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2044-10-01,GARW,tropics,-0.5205260046275652,0.0084837003586265,8.783556128290596e-05,0.0093720628083099,-7.341647132209278,784,1647577,4.95331774721659,5.021775186221887,0.8732274906407188,0.8809452313372559
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2045-10-01,GARW,tropics,-0.0872640426467503,0.0020287176760531,5.9314508951399884e-06,0.0024354570197685,-1.63185777013702,777,1556596,5.310965755783527,5.410898475740445,0.9272066185123956,0.9492072091422684
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2046-04-01,GARW,tropics,0.3174016109393037,0.0270869119551549,0.0024565534545632,0.0495636303610144,-8.991807992987848,3858,8078579,5.215394217981874,5.190863478532632,0.9105214116280166,0.9106075557668324
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2046-10-01,GARW,tropics,0.9962944743647156,0.0010870868928514,2.8590873568413275e-06,0.0016908836023929,0.9920293734330692,3793,7938787,5.080332758323472,5.060227706172349,0.9001527656795689,0.8876907670944522
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2047-04-01,GARW,tropics,0.8531492231871567,0.0011883636180811,2.0399199531791936e-06,0.0014282576634414,0.331406331344365,649,1184694,4.282739109536563,4.510216172374823,0.7753582097219365,0.7912049588072128
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2047-10-01,GARW,tropics,0.8609999854382828,0.0033551407087778,1.930093275807841e-05,0.0043932826858828,0.6782973762655604,948,2006679,4.694833396823758,4.767724926104949,0.8406203974006162,0.8363784483032299
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2048-04-01,GARW,tropics,0.993509066949297,0.0011167278013994,1.9250471503437094e-06,0.0013874606842515,0.9832241490607552,2820,6252282,5.477520564613289,5.464847956736199,0.9608943933187496,0.958671300276162
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2048-10-01,GARW,tropics,-0.0646971110265494,0.0209444636630052,0.0018002591503608,0.0424294608775655,-17.589089525974167,2344,5271020,5.274526623330101,5.267960206960599,0.9252841682623948,0.9241322542532694
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2049-04-01,GARW,tropics,0.4783066528817005,0.0017611423061955,4.408255042585769e-06,0.0020995844928427,-1.0094400878272245,449,972115,4.660874238597459,4.829007507479956,0.8486888044606333,0.8471289490374069
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2049-10-01,GARW,tropics,0.7766802156239863,0.0042945073020999,2.9201622728880364e-05,0.0054038525820825,-0.1114859249275852,1194,2526923,4.228983617100107,4.3286906673780345,0.7700467479595238,0.7593608355514048
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2050-04-01,GARW,tropics,0.6659600374162754,0.0127194775323542,0.0002821353002213,0.0167968836461224,0.1408424469752663,3056,6360081,5.188297461062497,5.218747396814245,0.9101574119889816,0.9154990939042984
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2050-10-01,GARW,tropics,0.1747928926696382,0.2609845075257977,0.0779197506030184,0.2791410944361622,-1743.0433506532663,1964,4080569,4.550824588336422,4.600112611895571,0.8192909880201031,0.8031034383919997
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2052-10-01,GARW,tropics,0.3468309577318949,0.086351086114797,0.0172189658384482,0.1312210571457502,-79.04963799758622,2489,5386563,5.1350737244035365,5.152698729876748,0.9052695125677586,0.9039125023072848
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2053-04-01,GARW,tropics,0.0078614283076394,0.3184906020169842,0.1117408281825748,0.3342765743850066,-859.8124835315141,2389,5112588,5.068846065059343,5.087892227366211,0.8892026432501751,0.8925438174838497
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2053-10-01,GARW,tropics,0.8334610763212239,0.0027953087252679,1.1042590240559228e-05,0.003323039307706,0.2991233668610946,382,856808,5.188991844975018,5.382006719939553,0.9102792243309858,0.9441388710439024
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2054-04-01,GARW,tropics,0.803772649178578,0.006898401669022,0.0001069655440428,0.0103424148071363,0.609667893008684,1048,2348987,4.777589870457156,4.816537868967237,0.8381090067934484,0.8449414619084692
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2054-10-01,GARW,tropics,0.9329219791878836,0.0039284761114759,9.071438956318198e-05,0.0095244101950295,0.838496916156434,3908,8163532,5.163683299345382,5.1856871724932505,0.9058394711047404,0.9096995019507544
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2025-10-01,FGA,north,0.8476455560157318,0.1928569930832731,0.0373257544885301,0.193198743496251,-108.36667886014148,421,962404,4.831894235492486,4.811080641094786,0.9141961265026702,0.910258186959787
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2026-04-01,FGA,north,0.5496566720906194,0.1462885007336489,0.0221754490792229,0.1489142339711788,-44.91894723514614,1421,3139156,4.512138278712231,4.540905910259196,0.7994778972021139,0.7965887080268925
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2026-10-01,FGA,north,0.998882872769275,0.0014049901302799,2.9619004679857503e-06,0.0017210172770735,0.99605626385589,2058,4587010,4.740608887546335,4.777671116283813,0.8399591924640372,0.8381232593477553
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2027-04-01,FGA,north,0.1338409859374493,0.1219710656567872,0.0251620779792092,0.1586255905559038,-27.72477360480269,2177,4760412,4.809475151055,4.828684316453861,0.8478692730371713,0.8470722532311051
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2027-10-01,FGA,north,0.9976339438826146,0.0022485937297523,7.8013570688531e-06,0.0027930909524849,0.9896835557764436,2225,4682452,4.800386409955537,4.80398548394012,0.8462670058319578,0.842739458966982
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2028-04-01,FGA,north,-0.4920837749553217,0.1673826707891003,0.0375370944411577,0.1937449210719026,-52.43721576617618,1503,3119614,4.735665909813452,4.798730595160922,0.8348573360275439,0.8418176197687752
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,2028-10-01,FGA,north,0.6282136981564389,0.2120278712100114,0.0455135246153385,0.2133389899088737,-114.90160964082968,1131,2377561,4.948803574467281,5.017939569528542,0.8639791026645233,0.8802723680349499
