batch,config,run,method_x,method_y,nid
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,25,variant_ag,variant_tsne,0.2570488492858267
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,25,variant_ag,variant_phylo,0.2773678150095743
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,25,variant_tsne,variant_phylo,0.23425475491279457
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,variant_ag,variant_tsne,0.23529138337852828
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,variant_ag,variant_phylo,0.2725323200422506
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,variant_tsne,variant_phylo,0.24683305844781755
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,variant_ag,variant_tsne,0.2120303468980277
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,variant_ag,variant_phylo,0.2642026272033581
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,variant_tsne,variant_phylo,0.24117101716330092
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,1,variant_ag,variant_tsne,0.21306409143492655
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,0,variant_ag,variant_tsne,0.23743829643197967
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,0,variant_ag,variant_phylo,0.34181417577480555
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,0,variant_tsne,variant_phylo,0.3015026715983936
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,variant_ag,variant_tsne,0.24959920012259518
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,variant_ag,variant_phylo,0.3359733562223809
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,variant_tsne,variant_phylo,0.26550372745096984
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,14,variant_ag,variant_tsne,0.1944247153105504
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,14,variant_ag,variant_phylo,0.3158108808042239
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,14,variant_tsne,variant_phylo,0.2809045829174125
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,16,variant_ag,variant_tsne,0.22860113599524468
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,16,variant_ag,variant_phylo,0.3646815411588449
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,16,variant_tsne,variant_phylo,0.3096951986856503
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,11,variant_ag,variant_tsne,0.18852862872991194
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,11,variant_ag,variant_phylo,0.2758190512625457
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,11,variant_tsne,variant_phylo,0.2109902955678158
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,12,variant_ag,variant_tsne,0.23664627952057637
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,12,variant_ag,variant_phylo,0.27822856670714025
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,12,variant_tsne,variant_phylo,0.22558743073464715
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,13,variant_ag,variant_tsne,0.21623619330727217
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,13,variant_ag,variant_phylo,0.3080256112515859
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,13,variant_tsne,variant_phylo,0.2525482348774857
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,10,variant_ag,variant_tsne,0.20560601823623093
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,10,variant_ag,variant_phylo,0.2841574340746863
