config,run,min_progeny,is_epitope,min_background_distance_aa,min_birthtime_gap_years,closest_pair_birthtime_gap_years
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,0,0.22580000000000133,0.22580000000000133
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,2.2754000000000003,2.6534999999999997
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,16,17.1586,17.1586
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,10,9.165600000000001,9.165600000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,18,21.1378,21.1378
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,3,3.1436,3.1436
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,11,12.110999999999999,12.110999999999999
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,1.8830999999999989,1.8830999999999989
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,3,1.9356999999999998,1.9356999999999998
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,1.2399999999999984,1.2399999999999984
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,0,0.07599999999999962,0.07599999999999962
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,6,6.9092,9.911700000000002
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,11,6.343399999999999,6.343399999999999
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,12,5.712800000000001,5.712800000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,15,17.005,17.005
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,19,22.329800000000002,22.329800000000002
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,6,8.395800000000001,8.395800000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,4.0641,4.0641
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,4.1429,4.1429
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,1.0699,1.0699
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,3.3313000000000024,6.676599999999997
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,2.1532,2.1532
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,6,4.210000000000001,8.183499999999999
