path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed,complete
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_18,18,151255.9834,90000000.0,0.0,89848744.0166,0.5097,1.652817866172629,211852.6221,3.3188,30.0,0.75,inf,0.2,0.01369,3.0781,999.0,0.38735944164404806,2579.0,37.0,37.0,1.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_28,28,176648.4092,90000000.0,0.0,89823351.5908,0.5314,1.9577206562979825,247407.8318,3.0781,30.0,0.75,inf,0.2,0.01365,2.741,974.0,0.3996717275338531,2437.0,57.0,1.5833333333333333,36.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_23,23,127261.1286,90000000.0,0.0,89872738.8714,0.4846,1.4617747934733272,178185.798,3.3582,30.0,0.75,inf,0.2,0.01376,3.459,950.0,0.39435450394354504,2409.0,36.0,9.0,4.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_22,22,157262.9015,90000000.0,0.0,89842737.0985,0.55,1.8221995310062913,220239.3523,3.3691,30.0,0.75,inf,0.2,0.01362,3.2339,1045.0,0.40331918178309534,2591.0,47.0,1.8076923076923077,26.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_5,5,156709.7992,90000000.0,0.0,89843290.2008,0.5476,1.8386629265415082,219498.0914,3.4099,30.0,0.75,inf,0.2,0.01363,3.1773,991.0,0.3884751078008624,2551.0,40.0,13.333333333333334,3.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_4,4,153121.9834,90000000.0,0.0,89846878.0166,0.5963,1.8697325218553051,214471.4015,3.4059,30.0,0.75,inf,0.2,0.01363,3.4845,949.0,0.3626289644631257,2617.0,43.0,3.909090909090909,11.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_29,29,130340.0435,90000000.0,0.0,89869659.9565,0.6875,1.5615682340091486,182583.9572,3.6352,30.0,0.75,inf,0.2,0.01359,3.3517,965.0,0.40820642978003385,2364.0,62.0,2.5833333333333335,24.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_8,8,125150.8926,90000000.0,0.0,89874849.1074,0.6407,1.5027562492907756,175298.0908,4.1509,30.0,0.75,inf,0.2,0.01363,3.8923,1030.0,0.4178498985801217,2465.0,33.0,8.25,4.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_10,10,139866.188,90000000.0,0.0,89860133.812,0.7186,1.7867478843209261,195875.6528,3.6482,30.0,1.0,inf,0.2,0.01363,3.5663,1236.0,0.5182389937106918,2385.0,66.0,1.65,40.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_17,17,158800.219,90000000.0,0.0,89841199.781,0.6174,1.8133942449180787,222447.8481,3.3008,30.0,1.0,inf,0.2,0.01367,3.2032,1344.0,0.5467860048820179,2458.0,64.0,2.2857142857142856,28.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_3,3,182834.3082,90000000.0,0.0,89817165.6918,0.6422,1.948355463489052,256111.2474,3.0959,30.0,1.0,inf,0.2,0.01366,2.7632,1353.0,0.5407673860911271,2502.0,74.0,1.3703703703703705,54.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_22,22,175407.7116,90000000.0,0.0,89824592.2884,0.6372,1.8497716809280373,245680.7008,3.3155,30.0,1.0,inf,0.2,0.01365,3.1597,1414.0,0.565373850459816,2501.0,52.0,8.666666666666666,6.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_26,26,152596.9783,90000000.0,0.0,89847403.0217,0.7022,1.8066888369142786,213692.3747,3.5253,30.0,1.0,inf,0.2,0.01363,3.3893,1379.0,0.5305886879569065,2599.0,60.0,1.935483870967742,31.0,False,True
