strain	date	country
7fd3b94a	6.3604	north
6b479998	6.3784	north
4755e16d	6.4007	north
15ddfe6d	6.3892	north
3ee35b4a	6.4099	north
7fe3fff2	6.3951	north
3d9b1825	6.425	north
6ef9aa67	6.4736	north
6e3cea05	6.5059	north
5ff048b8	6.5887	north
7191e2f6	6.6302	north
69571da5	6.7084	north
6881b31b	6.7572	north
116619f1	6.7968	north
69006c	6.7981	north
2d4cd530	6.822	north
74f532e1	6.8322	north
481dad73	6.8502	north
319de878	6.8706	north
167811cd	6.8625	north
30777487	6.8632	north
79f4bdf6	6.8617	north
5b075d8d	6.8662	north
51b87d65	6.8625	north
4bc14d2e	6.8616	north
4848ba64	6.8856	north
371bd22d	6.8813	north
68ded6f0	6.8926	north
4ea7ab4e	6.8735	north
65353a92	6.8895	north
6730da44	6.8794	north
10830ee8	6.8999	north
50f259ba	6.8979	north
4cfd0403	6.893	north
603bd29d	6.8845	north
111d2d4d	6.9139	north
7dc7f315	6.9153	north
32e36b41	6.9205	north
1f7c57e4	6.9005	north
1af1f4	6.9178	north
14c298e7	6.9157	north
2ac66202	6.9259	north
683f6429	6.9363	north
158443f8	6.9077	north
ae07db7	6.9271	north
78c04fba	6.9348	north
5f91ab50	6.9311	north
5108130f	6.9452	north
9eb2b3d	6.9337	north
80f632e	6.9461	north
5add44fc	6.9529	north
19816d84	6.9547	north
6da13774	6.9468	north
3bb86a4f	6.9572	north
3e1bc636	6.9625	north
219665d0	6.9653	north
21a9b487	6.9467	north
1e9da96f	6.9682	north
148ff556	6.9586	north
6ec0464a	6.9671	north
24d341e7	6.9704	north
36b0e067	6.962	north
a09ee50	6.9609	north
4844fcf	6.9767	north
4363c9e7	6.9796	north
1891991e	6.9805	north
1c14372d	6.983	north
1d34dd7b	6.9701	north
425e7622	6.9837	north
115e4031	6.98	north
e68c9e9	6.9849	north
12a90d8b	6.9774	north
6f0115fb	6.988	north
4536b43e	6.9872	north
40a6b2ef	6.9844	north
54cb3925	6.9813	north
5cad4f64	6.9892	north
28dbb8cb	6.9649	north
76a8c25d	6.9793	north
33c981ad	6.9831	north
2c5b8b93	6.9905	north
559d32cd	6.9922	north
1ce58708	6.9922	north
4ff98616	6.9941	north
318097ef	6.998	north
2a6a8905	6.9519	north
a7869cc	7.0037	north
cbd139c	6.9998	north
6673d65d	6.9963	north
63b930de	6.9789	north
18b3f63	6.9885	north
4b8b06f1	6.973	north
3ee51a09	7.0103	north
7069a220	7.0045	north
4a6d6f29	7.0047	north
731ff2f	6.9957	north
3103a8e1	7.0041	north
c03bcb2	7.012	north
51d0c813	7.0116	north
2bd37c6	7.0162	north
2c9d70f5	6.9946	north
69c2a4a1	7.0181	north
4598da35	6.9948	north
4800436b	7.0203	north
74fbf736	7.0161	north
7ea77db2	7.0206	north
487bb51e	7.0276	north
55c04283	7.0227	north
779be4ec	7.0264	north
7af392e6	7.0158	north
4cd8fa51	7.0062	north
3e11e306	7.0258	north
3add73a3	7.0161	north
331511ba	7.0302	north
4a3cf9a5	7.0227	north
71c062bc	7.024	north
2bc0c7ca	7.0263	north
6a6859	7.0154	north
79eb457e	7.0384	north
1d0c1611	7.0356	north
7db0dc2	7.0067	north
3ceb9845	7.0327	north
5991a501	7.0307	north
